SUBURB,suburb,count
MONT ALBERT NORTH,Mont Albert North,211
MONTMORENCY,Montmorency,375
MONTROSE,Montrose,207
MOONEE PONDS,Moonee Ponds,530
MOORABBIN,Moorabbin,257
MOOROODUC,Moorooduc,6
MOOROOLBARK,Mooroolbark,844
MORDIALLOC,Mordialloc,374
MORNINGTON,Mornington,1424
MOUNT BURNETT,Mount Burnett,6
MOUNT COTTRELL,Mount Cottrell,2
MOUNT DANDENONG,Mount Dandenong,60
MOUNT ELIZA,Mount Eliza,835
MOUNT EVELYN,Mount Evelyn,317
MOUNT MARTHA,Mount Martha,980
MOUNT TOOLEBEWONG,Mount Toolebewong,1
MOUNT WAVERLEY,Mount Waverley,1260
MULGRAVE,Mulgrave,556
MURRUMBEENA,Murrumbeena,376
NAR NAR GOON,Nar Nar Goon,19
NAR NAR GOON NORTH,Nar Nar Goon North,12
NARRE WARREN,Narre Warren,878
NARRE WARREN EAST,Narre Warren East,9
NARRE WARREN NORTH,Narre Warren North,128
NARRE WARREN SOUTH,Narre Warren South,882
NEWPORT,Newport,553
NIDDRIE,Niddrie,259
NOBLE PARK,Noble Park,932
NOBLE PARK NORTH,Noble Park North,145
NORTH MELBOURNE,North Melbourne,519
NORTH WARRANDYTE,North Warrandyte,105
NORTHCOTE,Northcote,988
NOTTING HILL,Notting Hill,105
NUNAWADING,Nunawading,399
NUTFIELD,Nutfield,2
OAK PARK,Oak Park,294
OAKLANDS JUNCTION,Oaklands Junction,3
OAKLEIGH,Oakleigh,224
OAKLEIGH EAST,Oakleigh East,221
OAKLEIGH SOUTH,Oakleigh South,302
OFFICER,Officer,926
OFFICER SOUTH,Officer South,14
OLINDA,Olinda,64
ORMOND,Ormond,311
PAKENHAM,Pakenham,2620
PAKENHAM SOUTH,Pakenham South,3
PAKENHAM UPPER,Pakenham Upper,19
PANTON HILL,Panton Hill,17
PARK ORCHARDS,Park Orchards,95
PARKDALE,Parkdale,476
PARKVILLE,Parkville,145
PASCOE VALE,Pascoe Vale,760
PASCOE VALE SOUTH,Pascoe Vale South,302
PATTERSON LAKES,Patterson Lakes,337
PEARCEDALE,Pearcedale,100
PLENTY,Plenty,51
PLUMPTON,Plumpton,60
POINT COOK,Point Cook,2118
POINT LEO,Point Leo,2
PORT MELBOURNE,Port Melbourne,885
PORTSEA,Portsea,124
POWELLTOWN,Powelltown,8
PRAHRAN,Prahran,886
PRESTON,Preston,1223
PRINCES HILL,Princes Hill,3
RED HILL,Red Hill,51
RED HILL SOUTH,Red Hill South,10
REEFTON,Reefton,4
RESEARCH,Research,95
RESERVOIR,Reservoir,1806
RICHMOND,Richmond,1399
RINGWOOD,Ringwood,820
RINGWOOD EAST,Ringwood East,442
RINGWOOD NORTH,Ringwood North,311
RIPPONLEA,Ripponlea,56
ROCKBANK,Rockbank,128
ROSANNA,Rosanna,300
ROSEBUD,Rosebud,1084
ROWVILLE,Rowville,848
ROXBURGH PARK,Roxburgh Park,570
RYE,Rye,872
RYTHDALE,Rythdale,1
SAFETY BEACH,Safety Beach,471
SANDHURST,Sandhurst,220
SANDRINGHAM,Sandringham,483
SASSAFRAS,Sassafras,37
SCORESBY,Scoresby,153
SEABROOK,Seabrook,153
SEAFORD,Seaford,868
SEAHOLME,Seaholme,71
SEDDON,Seddon,250
SELBY,Selby,57
SEVILLE,Seville,72
SEVILLE EAST,Seville East,29
SHERBROOKE,Sherbrooke,12
SHOREHAM,Shoreham,24
SILVAN,Silvan,33
SKYE,Skye,300
SMITHS GULLY,Smiths Gully,8
SOMERS,Somers,114
SOMERVILLE,Somerville,451
SORRENTO,Sorrento,283
SOUTH KINGSVILLE,South Kingsville,124
SOUTH MELBOURNE,South Melbourne,556
SOUTH MORANG,South Morang,714
SOUTH WHARF,South Wharf,1
SOUTH YARRA,South Yarra,1297
SOUTHBANK,Southbank,1189
SPOTSWOOD,Spotswood,107
SPRINGVALE,Springvale,399
SPRINGVALE SOUTH,Springvale South,201
ST ALBANS,St Albans,904
ST ANDREWS,St Andrews,30
ST ANDREWS BEACH,St Andrews Beach,66
ST HELENA,St Helena,80
ST KILDA,St Kilda,1233
ST KILDA EAST,St Kilda East,673
ST KILDA WEST,St Kilda West,160
STEELS CREEK,Steels Creek,7
STRATHEWEN,Strathewen,5
STRATHMORE,Strathmore,333
STRATHMORE HEIGHTS,Strathmore Heights,29
STRATHTULLOH,Strathtulloh,42
SUNBURY,Sunbury,1560
SUNSHINE,Sunshine,337
SUNSHINE NORTH,Sunshine North,309
SUNSHINE WEST,Sunshine West,456
SURREY HILLS,Surrey Hills,475
SYDENHAM,Sydenham,293
TARNEIT,Tarneit,1826
TARRAWARRA,Tarrawarra,1
TAYLORS HILL,Taylors Hill,323
TAYLORS LAKES,Taylors Lakes,251
TECOMA,Tecoma,73
TEMPLESTOWE,Templestowe,518
TEMPLESTOWE LOWER,Templestowe Lower,453
THE BASIN,The Basin,120
THE PATCH,The Patch,33
THOMASTOWN,Thomastown,461
THORNBURY,Thornbury,695
THORNHILL PARK,Thornhill Park,112
THREE BRIDGES,Three Bridges,5
TOOLANGI,Toolangi,7
TOOLERN VALE,Toolern Vale,14
TOORADIN,Tooradin,36
TOORAK,Toorak,682
TOOTGAROOK,Tootgarook,228
TRAVANCORE,Travancore,138
TREMONT,Tremont,4
TRUGANINA,Truganina,1053
TUERONG,Tuerong,1
TULLAMARINE,Tullamarine,227
TYABB,Tyabb,109
TYNONG,Tynong,12
TYNONG NORTH,Tynong North,6
UPPER FERNTREE GULLY,Upper Ferntree Gully,113
UPWEY,Upwey,224
VERMONT,Vermont,318
VERMONT SOUTH,Vermont South,286
VIEWBANK,Viewbank,191
WANDIN EAST,Wandin East,7
WANDIN NORTH,Wandin North,99
WANTIRNA,Wantirna,381
WANTIRNA SOUTH,Wantirna South,519
WARBURTON,Warburton,103
WARNEET,Warneet,32
WARRANDYTE,Warrandyte,153
WARRANDYTE SOUTH,Warrandyte South,18
WARRANWOOD,Warranwood,119
WATERWAYS,Waterways,47
WATSONIA,Watsonia,211
WATSONIA NORTH,Watsonia North,99
WATSONS CREEK,Watsons Creek,2
WATTLE GLEN,Wattle Glen,60
WEIR VIEWS,Weir Views,102
WERRIBEE,Werribee,1706
WERRIBEE SOUTH,Werribee South,61
WESBURN,Wesburn,26
WEST FOOTSCRAY,West Footscray,477
WEST MELBOURNE,West Melbourne,281
WESTMEADOWS,Westmeadows,237
WHEELERS HILL,Wheelers Hill,454
WHITTLESEA,Whittlesea,253
WILDWOOD,Wildwood,1
WILLIAMS LANDING,Williams Landing,273
WILLIAMSTOWN,Williamstown,586
WILLIAMSTOWN NORTH,Williamstown North,17
WINDSOR,Windsor,207
WOLLERT,Wollert,1156
WONGA PARK,Wonga Park,79
WOODSTOCK,Woodstock,2
WOORI YALLOCK,Woori Yallock,111
WYNDHAM VALE,Wyndham Vale,783
YALLAMBIE,Yallambie,91
YAN YEAN,Yan Yean,6
YANNATHAN,Yannathan,2
YARRA GLEN,Yarra Glen,104
YARRA JUNCTION,Yarra Junction,121
YARRAMBAT,Yarrambat,32
YARRAVILLE,Yarraville,630
YELLINGBO,Yellingbo,10
YERING,Yering,1
YUROKE,Yuroke,1
