"","Month_Yr","SUBURB","n"
"390","2018-09","WATSONIA NORTH",1
"391","2018-09","WATTLE GLEN",2
"392","2018-09","WEIR VIEWS",2
"393","2018-09","WERRIBEE",46
"394","2018-09","WESBURN",2
"395","2018-09","WEST FOOTSCRAY",10
"396","2018-09","WEST MELBOURNE",4
"397","2018-09","WESTMEADOWS",7
"398","2018-09","WHEELERS HILL",15
"399","2018-09","WHITTLESEA",7
"400","2018-09","WILLIAMS LANDING",4
"401","2018-09","WILLIAMSTOWN",14
"402","2018-09","WINDSOR",4
"403","2018-09","WOLLERT",15
"404","2018-09","WONGA PARK",3
"405","2018-09","WOORI YALLOCK",2
"406","2018-09","WYNDHAM VALE",32
"407","2018-09","YALLAMBIE",2
"408","2018-09","YARRA GLEN",3
"409","2018-09","YARRA JUNCTION",3
"410","2018-09","YARRAVILLE",12
"411","2018-09","YUROKE",1
"412","2018-10","ABBOTSFORD",19
"413","2018-10","ABERFELDIE",3
"414","2018-10","AINTREE",1
"415","2018-10","AIRPORT WEST",18
"416","2018-10","ALBANVALE",4
"417","2018-10","ALBERT PARK",5
"418","2018-10","ALBION",14
"419","2018-10","ALPHINGTON",7
"420","2018-10","ALTONA",13
"421","2018-10","ALTONA MEADOWS",15
"422","2018-10","ALTONA NORTH",13
"423","2018-10","ARDEER",7
"424","2018-10","ARMADALE",15
"425","2018-10","ASCOT VALE",16
"426","2018-10","ASHBURTON",7
"427","2018-10","ASHWOOD",4
"428","2018-10","ASPENDALE",4
"429","2018-10","ASPENDALE GARDENS",7
"430","2018-10","AVONDALE HEIGHTS",11
"431","2018-10","AVONSLEIGH",2
"432","2018-10","BADGER CREEK",2
"433","2018-10","BALACLAVA",7
"434","2018-10","BALNARRING",3
"435","2018-10","BALNARRING BEACH",1
"436","2018-10","BALWYN",11
"437","2018-10","BALWYN NORTH",26
"438","2018-10","BANGHOLME",1
"439","2018-10","BAXTER",1
"440","2018-10","BAYSWATER",19
"441","2018-10","BAYSWATER NORTH",13
"442","2018-10","BEACONSFIELD",10
"443","2018-10","BEAUMARIS",13
"444","2018-10","BELGRAVE",3
"445","2018-10","BELGRAVE HEIGHTS",2
"446","2018-10","BELGRAVE SOUTH",2
"447","2018-10","BENTLEIGH",18
"448","2018-10","BENTLEIGH EAST",53
"449","2018-10","BERWICK",51
"450","2018-10","BITTERN",2
"451","2018-10","BLACK ROCK",6
"452","2018-10","BLACKBURN",16
"453","2018-10","BLACKBURN NORTH",8
"454","2018-10","BLACKBURN SOUTH",10
"455","2018-10","BLAIRGOWRIE",4
"456","2018-10","BLIND BIGHT",5
"457","2018-10","BONBEACH",13
"458","2018-10","BORONIA",28
"459","2018-10","BOTANIC RIDGE",14
"460","2018-10","BOX HILL",16
"461","2018-10","BOX HILL NORTH",15
"462","2018-10","BOX HILL SOUTH",6
"463","2018-10","BRAYBROOK",8
"464","2018-10","BRIAR HILL",3
"465","2018-10","BRIGHTON",37
"466","2018-10","BRIGHTON EAST",14
"467","2018-10","BROADMEADOWS",13
"468","2018-10","BROOKFIELD",12
"469","2018-10","BROOKLYN",5
"470","2018-10","BRUNSWICK",48
"471","2018-10","BRUNSWICK EAST",23
"472","2018-10","BRUNSWICK WEST",13
"473","2018-10","BULLA",2
"474","2018-10","BULLEEN",10
"475","2018-10","BUNDOORA",23
"476","2018-10","BUNYIP",1
"477","2018-10","BURNSIDE",4
"478","2018-10","BURNSIDE HEIGHTS",2
"479","2018-10","BURWOOD",14
"480","2018-10","BURWOOD EAST",6
"481","2018-10","CAIRNLEA",6
"482","2018-10","CAMBERWELL",15
"483","2018-10","CAMPBELLFIELD",1
"484","2018-10","CANTERBURY",10
"485","2018-10","CAPEL SOUND",14
"486","2018-10","CARLTON",21
"487","2018-10","CARLTON NORTH",10
"488","2018-10","CARNEGIE",32
"489","2018-10","CAROLINE SPRINGS",24
"490","2018-10","CARRUM",7
"491","2018-10","CARRUM DOWNS",34
"492","2018-10","CAULFIELD",7
"493","2018-10","CAULFIELD EAST",1
"494","2018-10","CAULFIELD NORTH",14
"495","2018-10","CAULFIELD SOUTH",18
"496","2018-10","CHADSTONE",8
"497","2018-10","CHELSEA",9
"498","2018-10","CHELSEA HEIGHTS",9
"499","2018-10","CHELTENHAM",27
"500","2018-10","CHIRNSIDE PARK",15
"501","2018-10","CLARINDA",3
"502","2018-10","CLAYTON",19
"503","2018-10","CLAYTON SOUTH",11
"504","2018-10","CLEMATIS",1
"505","2018-10","CLIFTON HILL",10
"506","2018-10","CLYDE",5
"507","2018-10","CLYDE NORTH",22
"508","2018-10","COBURG",32
"509","2018-10","COBURG NORTH",13
"510","2018-10","COCKATOO",6
"511","2018-10","COLDSTREAM",2
"512","2018-10","COLLINGWOOD",16
"513","2018-10","COOLAROO",3
"514","2018-10","CRAIGIEBURN",70
"515","2018-10","CRANBOURNE",25
"516","2018-10","CRANBOURNE EAST",20
"517","2018-10","CRANBOURNE NORTH",41
"518","2018-10","CRANBOURNE SOUTH",1
"519","2018-10","CRANBOURNE WEST",15
"520","2018-10","CRIB POINT",6
"521","2018-10","CROYDON",44
"522","2018-10","CROYDON HILLS",3
"523","2018-10","CROYDON NORTH",8
"524","2018-10","CROYDON SOUTH",6
"525","2018-10","DALLAS",8
"526","2018-10","DANDENONG",19
"527","2018-10","DANDENONG NORTH",14
"528","2018-10","DEEPDENE",1
"529","2018-10","DEER PARK",18
