,year,SUBURB,suburb,n,price_mean
194,2018,HALLAM,Hallam,27,521425.9259
195,2018,HAMPTON,Hampton,71,1751776.592
196,2018,HAMPTON EAST,Hampton East,26,1116673.077
197,2018,HAMPTON PARK,Hampton Park,82,506452.2927
198,2018,HARKAWAY,Harkaway,1,960000
199,2018,HARKNESS,Harkness,56,454875
200,2018,HASTINGS,Hastings,57,504990.6842
201,2018,HAWTHORN,Hawthorn,125,991557.6
202,2018,HAWTHORN EAST,Hawthorn East,49,1202622.469
203,2018,HEALESVILLE,Healesville,34,595955.8824
204,2018,HEATHERTON,Heatherton,6,727333.3333
205,2018,HEATHMONT,Heathmont,43,927965.1163
206,2018,HEIDELBERG,Heidelberg,23,831000
207,2018,HEIDELBERG HEIGHTS,Heidelberg Heights,46,713717.3913
208,2018,HEIDELBERG WEST,Heidelberg West,25,667860
209,2018,HIGHETT,Highett,66,941089.3182
210,2018,HILLSIDE,Hillside,64,691986.7188
211,2018,HOPPERS CROSSING,Hoppers Crossing,146,555066.8973
212,2018,HUGHESDALE,Hughesdale,29,809368.9655
213,2018,HUMEVALE,Humevale,1,955000
214,2018,HUNTINGDALE,Huntingdale,7,820084
215,2018,HURSTBRIDGE,Hurstbridge,10,766250
216,2018,IVANHOE,Ivanhoe,40,945394.4
217,2018,IVANHOE EAST,Ivanhoe East,20,1736275
218,2018,JACANA,Jacana,12,519750
219,2018,JUNCTION VILLAGE,Junction Village,2,472250
220,2018,KALKALLO,Kalkallo,15,556233.3333
221,2018,KALLISTA,Kallista,11,841895.0909
222,2018,KALORAMA,Kalorama,7,786428.5714
223,2018,KANGAROO GROUND,Kangaroo Ground,4,1806250
224,2018,KEALBA,Kealba,12,597958.3333
225,2018,KEILOR,Keilor,11,748300
226,2018,KEILOR DOWNS,Keilor Downs,28,622982.1429
227,2018,KEILOR EAST,Keilor East,59,804576.2712
228,2018,KEILOR PARK,Keilor Park,5,795000
229,2018,KENSINGTON,Kensington,68,826491
230,2018,KEW,Kew,92,1721106.522
231,2018,KEW EAST,Kew East,30,1627010
232,2018,KEYSBOROUGH,Keysborough,108,801391.5463
233,2018,KILSYTH,Kilsyth,68,625075.6765
234,2018,KILSYTH SOUTH,Kilsyth South,7,924714.2857
235,2018,KINGS PARK,Kings Park,21,538680.9524
236,2018,KINGSBURY,Kingsbury,9,764055.5556
237,2018,KINGSVILLE,Kingsville,21,777219.0476
238,2018,KNOXFIELD,Knoxfield,34,741750
239,2018,KOO WEE RUP,Koo Wee Rup,15,559586.6667
240,2018,KOOYONG,Kooyong,2,3877500
241,2018,KURUNJANG,Kurunjang,42,457619.0476
242,2018,LALOR,Lalor,71,603483.0986
243,2018,LANG LANG,Lang Lang,6,501566.6667
244,2018,LANGWARRIN,Langwarrin,127,641013.7559
245,2018,LANGWARRIN SOUTH,Langwarrin South,2,1230000
246,2018,LAUNCHING PLACE,Launching Place,10,607400
247,2018,LAVERTON,Laverton,34,522014.7353
248,2018,LILYDALE,Lilydale,75,661777.7867
249,2018,LITTLE RIVER,Little River,4,1039375
250,2018,LOWER PLENTY,Lower Plenty,25,891340
251,2018,LYNBROOK,Lynbrook,25,638840
252,2018,LYNDHURST,Lyndhurst,26,680798.0769
253,2018,LYSTERFIELD,Lysterfield,21,1032857.143
254,2018,LYSTERFIELD SOUTH,Lysterfield South,3,1320000
255,2018,MACCLESFIELD,Macclesfield,3,1103333.333
256,2018,MACLEOD,Macleod,40,857261.25
257,2018,MAIDSTONE,Maidstone,41,624629.2683
258,2018,MAIN RIDGE,Main Ridge,6,2076666.667
259,2018,MALVERN,Malvern,57,1921814.895
260,2018,MALVERN EAST,Malvern East,72,1323856.125
261,2018,MANOR LAKES,Manor Lakes,34,546280.8529
262,2018,MARIBYRNONG,Maribyrnong,64,741792.7813
263,2018,MCCRAE,Mccrae,20,819625
264,2018,MCKINNON,Mckinnon,20,1121725
265,2018,MEADOW HEIGHTS,Meadow Heights,22,499881.8182
266,2018,MELBOURNE,Melbourne,219,521504.4064
267,2018,MELTON,Melton,59,413715.4746
268,2018,MELTON SOUTH,Melton South,67,419842.6716
269,2018,MELTON WEST,Melton West,46,433467.3913
270,2018,MENTONE,Mentone,64,863878.8438
271,2018,MENZIES CREEK,Menzies Creek,4,951250
272,2018,MERNDA,Mernda,111,578290.1982
273,2018,MERRICKS NORTH,Merricks North,2,2535000
274,2018,MICKLEHAM,Mickleham,49,619752.5918
275,2018,MIDDLE PARK,Middle Park,20,2193375
276,2018,MILL PARK,Mill Park,111,630126.1261
277,2018,MILLGROVE,Millgrove,11,440909.0909
278,2018,MITCHAM,Mitcham,71,860582.1972
279,2018,MONBULK,Monbulk,15,682200
280,2018,MONT ALBERT,Mont Albert,12,1213333.333
281,2018,MONT ALBERT NORTH,Mont Albert North,26,1131156.769
282,2018,MONTMORENCY,Montmorency,38,831736.8421
283,2018,MONTROSE,Montrose,24,775478.2917
284,2018,MOONEE PONDS,Moonee Ponds,61,1158601.639
285,2018,MOORABBIN,Moorabbin,37,844101.3514
286,2018,MOOROODUC,Moorooduc,2,1412500
287,2018,MOOROOLBARK,Mooroolbark,87,718284.1264
288,2018,MORDIALLOC,Mordialloc,52,838342.5192
289,2018,MORNINGTON,Mornington,131,833050.3817
290,2018,MOUNT BURNETT,Mount Burnett,2,785000
291,2018,MOUNT DANDENONG,Mount Dandenong,5,680000
292,2018,MOUNT ELIZA,Mount Eliza,90,1360414.444
293,2018,MOUNT EVELYN,Mount Evelyn,37,717843.3243
294,2018,MOUNT MARTHA,Mount Martha,99,1077782.707
295,2018,MOUNT WAVERLEY,Mount Waverley,135,1176695.37
296,2018,MULGRAVE,Mulgrave,73,818897.274
297,2018,MURRUMBEENA,Murrumbeena,47,897098.6809
298,2018,NAR NAR GOON,Nar Nar Goon,3,610666.6667
299,2018,NAR NAR GOON NORTH,Nar Nar Goon North,1,925000
300,2018,NARRE WARREN,Narre Warren,106,584562.6415
301,2018,NARRE WARREN EAST,Narre Warren East,2,1915000
302,2018,NARRE WARREN NORTH,Narre Warren North,9,1225888.889
303,2018,NARRE WARREN SOUTH,Narre Warren South,94,662756.734
304,2018,NEWPORT,Newport,64,1006046.094
305,2018,NIDDRIE,Niddrie,28,910964.2857
306,2018,NOBLE PARK,Noble Park,99,537650.5051
307,2018,NOBLE PARK NORTH,Noble Park North,23,603521.7391
308,2018,NORTH MELBOURNE,North Melbourne,63,698468.254
309,2018,NORTH WARRANDYTE,North Warrandyte,9,1100611.111
310,2018,NORTHCOTE,Northcote,119,1117110.403
311,2018,NOTTING HILL,Notting Hill,12,597750
312,2018,NUNAWADING,Nunawading,34,864334.9412
313,2018,OAK PARK,Oak Park,31,736602.7742
314,2018,OAKLANDS JUNCTION,Oaklands Junction,1,1250000
315,2018,OAKLEIGH,Oakleigh,21,845521.4286
316,2018,OAKLEIGH EAST,Oakleigh East,31,876125.4194
317,2018,OAKLEIGH SOUTH,Oakleigh South,28,810004.8929
318,2018,OFFICER,Officer,86,617471.2442
319,2018,OLINDA,Olinda,8,998250
320,2018,ORMOND,Ormond,36,941930.2222
321,2018,PAKENHAM,Pakenham,321,515590.6854
322,2018,PAKENHAM UPPER,Pakenham Upper,2,1267500
323,2018,PANTON HILL,Panton Hill,2,900500
324,2018,PARK ORCHARDS,Park Orchards,3,2308333.333
325,2018,PARKDALE,Parkdale,61,947150
326,2018,PARKVILLE,Parkville,17,1447264.706
327,2018,PASCOE VALE,Pascoe Vale,81,720954.8148
328,2018,PASCOE VALE SOUTH,Pascoe Vale South,37,892229.7568
329,2018,PATTERSON LAKES,Patterson Lakes,30,1035879.6
330,2018,PEARCEDALE,Pearcedale,10,745300
331,2018,PLENTY,Plenty,9,1578061.111
332,2018,PLUMPTON,Plumpton,18,536769.4444
333,2018,POINT COOK,Point Cook,174,641190.8391
334,2018,PORT MELBOURNE,Port Melbourne,96,1168314.063
335,2018,PORTSEA,Portsea,12,2469043.75
336,2018,POWELLTOWN,Powelltown,3,472166.6667
337,2018,PRAHRAN,Prahran,81,923385.1728
338,2018,PRESTON,Preston,143,770270.2797
339,2018,RED HILL,Red Hill,7,2405714.286
340,2018,REEFTON,Reefton,1,361000
341,2018,RESEARCH,Research,17,1071947.059
342,2018,RESERVOIR,Reservoir,217,678279.5853
343,2018,RICHMOND,Richmond,174,983543.092
344,2018,RINGWOOD,Ringwood,87,766383.046
345,2018,RINGWOOD EAST,Ringwood East,62,759955.6452
346,2018,RINGWOOD NORTH,Ringwood North,41,957841.4634
347,2018,RIPPONLEA,Ripponlea,9,754777.7778
348,2018,ROCKBANK,Rockbank,9,599444.5556
349,2018,ROSANNA,Rosanna,46,878204.3478
350,2018,ROSEBUD,Rosebud,101,623956.2574
351,2018,ROWVILLE,Rowville,101,804199.495
352,2018,ROXBURGH PARK,Roxburgh Park,78,550496.1538
353,2018,RYE,Rye,88,760751.1364
354,2018,SAFETY BEACH,Safety Beach,50,837998.3
355,2018,SANDHURST,Sandhurst,11,864445.4545
356,2018,SANDRINGHAM,Sandringham,55,1288783.309
357,2018,SASSAFRAS,Sassafras,6,771916.6667
358,2018,SCORESBY,Scoresby,16,769218.75
359,2018,SEABROOK,Seabrook,11,592595.9091
360,2018,SEAFORD,Seaford,84,624674.381
361,2018,SEAHOLME,Seaholme,8,934375
362,2018,SEDDON,Seddon,25,975180
363,2018,SELBY,Selby,11,840363.6364
364,2018,SEVILLE,Seville,9,839055.5556
365,2018,SEVILLE EAST,Seville East,7,578571.4286
366,2018,SHERBROOKE,Sherbrooke,2,872500
367,2018,SHOREHAM,Shoreham,4,2473125
368,2018,SILVAN,Silvan,1,1251000
369,2018,SKYE,Skye,31,647404.0645
370,2018,SMITHS GULLY,Smiths Gully,1,750000
371,2018,SOMERS,Somers,6,1400000
372,2018,SOMERVILLE,Somerville,45,624666.6667
373,2018,SORRENTO,Sorrento,21,1424023.81
374,2018,SOUTH KINGSVILLE,South Kingsville,11,809090.9091
375,2018,SOUTH MELBOURNE,South Melbourne,54,934872.2222
376,2018,SOUTH MORANG,South Morang,92,621673.913
377,2018,SOUTH YARRA,South Yarra,147,846788.483
378,2018,SOUTHBANK,Southbank,126,595450.7063
379,2018,SPOTSWOOD,Spotswood,12,1084666.667
380,2018,SPRINGVALE,Springvale,42,719962.9524
381,2018,SPRINGVALE SOUTH,Springvale South,28,646741.3571
382,2018,ST ALBANS,St Albans,95,567300
383,2018,ST ANDREWS,St Andrews,3,1076666.667
384,2018,ST ANDREWS BEACH,St Andrews Beach,4,1099250
385,2018,ST HELENA,St Helena,9,871500
386,2018,ST KILDA,St Kilda,153,731882.3529
387,2018,ST KILDA EAST,St Kilda East,95,769011.6842
388,2018,ST KILDA WEST,St Kilda West,16,1132687.5
389,2018,STEELS CREEK,Steels Creek,1,865000
390,2018,STRATHMORE,Strathmore,56,1241003.089
391,2018,STRATHMORE HEIGHTS,Strathmore Heights,3,870666.6667
392,2018,STRATHTULLOH,Strathtulloh,2,495000
393,2018,SUNBURY,Sunbury,194,568557.732
394,2018,SUNSHINE,Sunshine,38,698118.4211
395,2018,SUNSHINE NORTH,Sunshine North,31,654241.9355
396,2018,SUNSHINE WEST,Sunshine West,56,601892.8571
397,2018,SURREY HILLS,Surrey Hills,52,1566488.481
398,2018,SYDENHAM,Sydenham,33,541427.2727
399,2018,TARNEIT,Tarneit,188,567037.2606
400,2018,TAYLORS HILL,Taylors Hill,54,736691.7037
401,2018,TAYLORS LAKES,Taylors Lakes,35,778300
402,2018,TECOMA,Tecoma,14,676892.8571
403,2018,TEMPLESTOWE,Templestowe,66,1400726.455
404,2018,TEMPLESTOWE LOWER,Templestowe Lower,49,1067087.755
405,2018,THE BASIN,The Basin,21,675920.9524
