"","year","SUBURB","n"
"401","2018","TAYLORS LAKES",35
"402","2018","TECOMA",14
"403","2018","TEMPLESTOWE",66
"404","2018","TEMPLESTOWE LOWER",49
"405","2018","THE BASIN",21
"406","2018","THE PATCH",5
"407","2018","THOMASTOWN",62
"408","2018","THORNBURY",93
"409","2018","THORNHILL PARK",4
"410","2018","TOOLANGI",1
"411","2018","TOOLERN VALE",2
"412","2018","TOORADIN",3
"413","2018","TOORAK",60
"414","2018","TOOTGAROOK",26
"415","2018","TRAVANCORE",15
"416","2018","TRUGANINA",88
"417","2018","TULLAMARINE",30
"418","2018","TYABB",13
"419","2018","TYNONG",2
"420","2018","UPPER FERNTREE GULLY",15
"421","2018","UPWEY",36
"422","2018","VERMONT",29
"423","2018","VERMONT SOUTH",32
"424","2018","VIEWBANK",25
"425","2018","WANDIN NORTH",15
"426","2018","WANTIRNA",40
"427","2018","WANTIRNA SOUTH",62
"428","2018","WARBURTON",14
"429","2018","WARNEET",2
"430","2018","WARRANDYTE",14
"431","2018","WARRANDYTE SOUTH",1
"432","2018","WARRANWOOD",12
"433","2018","WATERWAYS",5
"434","2018","WATSONIA",28
"435","2018","WATSONIA NORTH",14
"436","2018","WATTLE GLEN",10
"437","2018","WEIR VIEWS",7
"438","2018","WERRIBEE",189
"439","2018","WERRIBEE SOUTH",3
"440","2018","WESBURN",4
"441","2018","WEST FOOTSCRAY",62
"442","2018","WEST MELBOURNE",20
"443","2018","WESTMEADOWS",25
"444","2018","WHEELERS HILL",68
"445","2018","WHITTLESEA",28
"446","2018","WILLIAMS LANDING",35
"447","2018","WILLIAMSTOWN",72
"448","2018","WINDSOR",17
"449","2018","WOLLERT",67
"450","2018","WONGA PARK",6
"451","2018","WOODSTOCK",1
"452","2018","WOORI YALLOCK",9
"453","2018","WYNDHAM VALE",114
"454","2018","YALLAMBIE",15
"455","2018","YAN YEAN",1
"456","2018","YARRA GLEN",15
"457","2018","YARRA JUNCTION",12
"458","2018","YARRAMBAT",2
"459","2018","YARRAVILLE",58
"460","2018","YELLINGBO",1
"461","2018","YUROKE",1
